azure,China East 2,CN,Shanghai,Shanghai,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,China North,CN,Beijing,Beijing,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,China North 2,CN,Beijing,Beijing,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,North Europe,IE,,Ireland,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,West Europe,NL,,Netherlands,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,France Central,FR,Paris,Paris,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,France South,FR,Marseille,Marseille,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Germany Central (Sovereign),DE,Frankfurt,Frankfurt,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Germany North (Public),DE,Berlin,Berlin,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Germany Northeastt (Sovereign),DE,Magdeburg,Magdeburg,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Germany West Central (Public),DE,Frankfurt,Frankfurt,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Central India,IN,Pune,Pune,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,South India,IN,Chennai,Chennai,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,West India,IN,Mumbai,Mumbai,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Israel Central,IL,,Israel,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Italy North,IT,Milan,Milan,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Japan East,JP,Tokyo,"Tokyo, Saitama",https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Japan West,JP,Osaka,Osaka,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Korea Central,KR,Seoul,Seoul,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Korea South,KR,Busan,Busan,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Mexico Central,MX,Querétaro,Querétaro State,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,New Zealand North,NZ,Auckland,Auckland,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Norway East,NO,Oslo,Oslo,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Norway West,NO,Stavanger,Stavanger,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Poland Central,PL,Warsaw,Warsaw,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Qatar Central,,,Doha,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Spain Central,ES,Madrid,Madrid,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Switzerland North,CH,Zurich,Zurich,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Switzerland West,CH,Geneva,Geneva,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,UAE Central,AE,Abu Dhabi,Abu Dhabi,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,UAE North,AE,Dubai,Dubai,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,UK South,GB,London,London,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,UK West,GB,Cardiff,Cardiff,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Central US,US-IA,,Iowa,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,East US,US-VA,,Virginia,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,East US 2,US-VA,,Virginia,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,North Central US,US-IL,,Illinois,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,South Central US,US-TX,,Texas,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,West Central US,US-WY,,Wyoming,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,West US,US-CA,,California,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,West US 2,US-WA,,Washington,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,West US 3,US-AZ,,Arizona,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
